"","SNP","PVal"
"1","rs950122",0.33577856434548
"2","rs1496555",0.226225447194843
"3","rs10489589",0.830353082465053
"4","rs10489588",0.267216596829591
"5","rs1109251",1.09299212192627
"6","rs2376495",0.281345930218698
"7","rs2455122",0.180050523705384
"8","rs2455124",0.180050523705384
"9","rs10492940",0.155011718699627
"10","rs10492939",0.585325252274295
"11","rs10492938",1.10717635472564
"12","rs10492937",0.487547257660436
"13","rs1128474",0.100381918745418
"14","rs1181876",0.154054934808084
"15","rs1181875",0.143137180433281
"16","rs2154068",0.0198636248146518
"17","rs10492942",0.0431690926250879
"18","rs10492943",0.138941281461853
"19","rs4131373",0.433726435575748
"20","rs3935559",0.506726995401132
"21","rs966321",0.754272207497838
"22","rs1495244",0.127909729539834
"23","rs3912752",0.596948105720827
"24","rs349409",0.302874885934563
"25","rs349410",0.302874885934563
"26","rs619729",0.246900911683441
"27","rs4654438",0.27017294987127
"28","rs10489135",0.0237132527260318
"29","rs241239",1.60658909438951
"30","rs10489134",0.286641379277929
"31","rs10489136",0.117745128383238
"32","rs1980722",0.0521364917733777
"33","rs1459764",0.394243066500716
"34","rs1563793",0.0513954931953532
"35","rs1563792",0.0341523739577759
"36","rs2169087",0.379210887406032
"37","rs4356099",1.48593837367367
"38","rs10492924",0.560738338124396
"39","rs10492925",0.299134686000875
"40","rs10492928",1.3165691961899
"41","rs10492930",0.102516938059274
"42","rs10492931",1.15610799580727
"43","rs10492932",0.0371002828502211
"44","rs7536712",0.752607001055388
"45","rs10492933",0.597076209758368
"46","rs2722782",0.232278612186192
"47","rs2353169",0.510893524440241
"48","rs4475768",0.287567212818862
"49","rs2153900",0.699069977724498
"50","rs1418632",0.185703319799736
"51","rs4845835",0.164742502019929
"52","rs10492947",0.41049258704068
"53","rs709184",0.0376080105836727
"54","rs707586",0.0376080105836727
"55","rs770702",0.0664408186978218
"56","rs551207",0.796246451479595
"57","rs806104",0.171967888255463
"58","rs10489535",3.37514613293651e-16
"59","rs3789491",0.575820428714455
"60","rs10489536",0.575820428714455
"61","rs3789572",0.054502234088057
"62","rs278020",0.164461104295111
"63","rs278021",0.184741338921855
"64","rs1396904",0.158693517955096
"65","rs7546903",0.117311463438809
"66","rs950493",0.101579403392297
"67","rs1317017",0.642778190719098
"68","rs9434845",0.603230227248104
"69","rs2412150",0.403001684259832
"70","rs10489142",0.135901674609181
"71","rs2301460",0.41190121128654
"72","rs2301461",0.526124723058075
"73","rs2097518",0.419264047306888
"74","rs6664987",0.672002175901793
"75","rs10492961",0.895920353965426
"76","rs2032563",1.01226614002416
"77","rs228651",1.12921461376773
"78","rs228725",0.5863119121594
"79","rs228724",0.5863119121594
"80","rs228714",0.510339101006351
"81","rs227163",0.134491194395846
"82","rs10489448",0.393427310766776
"83","rs10489450",0.149569593705678
"84","rs1107284",1.11262817157814
"85","rs1058790",1.34604002368989
"86","rs301791",0.352514630218172
"87","rs301789",0.352514630218172
"88","rs172531",0.352514630218172
"89","rs301801",0.352514630218172
"90","rs10492966",0.77174280756327
"91","rs10492965",0.816241297998282
"92","rs10492964",0.238214642648288
"93","rs10492963",0.851196068555308
"94","rs2268172",0.181868417491698
"95","rs10492967",0.206447856394155
"96","rs9308447",0.20420963528231
"97","rs10492968",0.161509127713808
"98","rs1372106",1.04214877907769
"99","rs10492969",0.21002304750724
"100","rs10492971",0.313895117882038
"101","rs10492972",0.604762452010855
"102","rs4333852",0.109087741261046
"103","rs4475756",0.104227143108994
"104","rs10492973",0.109087741261046
"105","rs3737155",0.181868417491698
"106","rs4846219",0.0307048682415872
"107","rs622623",1.12159954699195
"108","rs2480777",1.29290361471628
"109","rs67969",0.341820259278835
"110","rs205474",0.393875286106897
"111","rs539790",0.510559275825737
"112","rs2387420",0.967962162544231
"113","rs1280972",0.30732750490324
"114","rs6701524",0.252733812768912
"115","rs2076655",0.245134472211721
"116","rs2179393",0.0883143093814468
"117","rs2335405",0.145068063219184
"118","rs1801133",0.622244998515572
"119","rs1474868",0.802792149726347
"120","rs1810563",0.304291628333688
"121","rs652284",0.148207027607753
"122","rs10492976",0.624298317735924
"123","rs1419299",1.07663846736145
"124","rs848578",0.327937637688786
"125","rs10492978",0.585238849854978
"126","rs10492979",0.365475689909435
"127","rs2495037",0.482666264391265
"128","rs10489152",0.233316289606819
"129","rs10489151",0.233316289606819
"130","rs1406417",0.446232553599088
"131","rs2884788",0
"132","rs1210110",0.141959307392148
"133","rs1203642",0.136894286312012
"134","rs1203690",0.167626584761003
"135","rs1203695",0.58452622642717
"136","rs1203696",0.13655287013335
"137","rs6697531",0.043341553132696
"138","rs10489150",0.0874484921929645
"139","rs6661262",0.336803805522983
"140","rs4661451",0.103341898400731
"141","rs725398",0.321577492494196
"142","rs725397",0.2169393398391
"143","rs10489148",0.2169393398391
"144","rs981462",0.319420413238624
"145","rs4661465",0.681261943040861
"146","rs2359907",0.191211929656565
"147","rs2013482",1.23039252226803
"148","rs2359909",0.906700276015746
"149","rs2359910",1.16576677824988
"150","rs7519796",0.0869296534826509
"151","rs10489146",0.0924886396645814
"152","rs10489145",0.326753200769668
"153","rs1417144",0.124541938717618
"154","rs7542472",0.241284848578367
"155","rs10489144",0.141799294450711
"156","rs10489143",0.141799294450711
"157","rs647287",0.354940169102387
"158","rs1339365",0.0559295404576792
"159","rs596071",0.0137804979834685
"160","rs10492981",0.487547257660436
"161","rs4662137",1.20955093882527
"162","rs6694249",0.472926250889938
"163","rs6678924",0.120874085589896
"164","rs6682103",0.182724417880876
"165","rs6690681",0.306517937818026
"166","rs2486769",0.232095820460109
"167","rs4369222",0.0597315314791109
"168","rs1934489",0.0597315314791109
"169","rs2105239",0.956493158660041
"170","rs4661291",0.222460587360259
"171","rs4661513",0.535528626869045
"172","rs1569635",0.949544511355613
"173","rs1630519",1.03571129339347
"174","rs10489353",0.0823801198132626
"175","rs10489354",0.127854386485584
"176","rs2807562",0.033130020957022
"177","rs880923",0.477950692041104
"178","rs1000313",0.0145258508005175
"179","rs6659639",0.00966172373533373
"180","rs10489453",0.257812725847182
"181","rs10489452",0.23430455381694
"182","rs2042370",0.00656077049837426
"183","rs556258",1.44649119982993e-16
"184","rs10492986",0.215957739748278
"185","rs10492987",0.155054484143563
"186","rs848208",2.03894414135815
"187","rs926619",0.155011718699627
"188","rs10489599",0.0847314516023802
"189","rs10489598",0.292924605652193
"190","rs10489597",0.165514229695314
"191","rs650298",0.933713520261734
"192","rs279025",0.499015457906372
"193","rs10492988",0.158151053601971
"194","rs2743518",0.119324163871395
"195","rs10492989",0.418680920376619
"196","rs910232",0.0220630496433423
"197","rs2076616",0.000436902857169903
"198","rs2143810",0.13396733040765
"199","rs2977313",9.64327466553287e-17
"200","rs3750300",2.41081866638322e-16
"201","rs4363467",0.48679161707837
"202","rs10492990",1.93609552364524
"203","rs6678862",0.103271877376627
"204","rs10489771",0.0620995152033619
"205","rs1847235",0.0206598000289714
"206","rs508571",0.509086801921411
"207","rs597865",0.157608192081481
"208","rs794228",1.05823333852708
"209","rs4920402",0.0518709806286098
"210","rs4311853",1.43966961189416
"211","rs10489572",0.350796197584948
"212","rs223192",0.473716696198096
"213","rs648097",0.664429410325861
"214","rs708087",1.44480467818885
"215","rs10489573",0.0797360606496053
"216","rs3007734",0.277154219966425
"217","rs725389",1.70517053508726
"218","rs10489153",0.393427310766776
"219","rs2236815",0.192702446489542
"220","rs4912075",0.026469485587734
"221","rs1570857",0.557008113571795
"222","rs10492996",0.441302937828146
"223","rs951908",0.675244791097381
"224","rs870482",0.141799294450711
"225","rs1009806",0.528066090275396
"226","rs10489533",0.162881526834638
"227","rs2223702",0.202569524076552
"228","rs2013249",0.692673847773669
"229","rs881246",0.388528154579723
"230","rs881247",0.798768777244853
"231","rs9287046",0.809387487929735
"232","rs9287047",0.764132332466899
"233","rs10492997",1.10219180724704
"234","rs10492998",1.16913190629065
"235","rs2314147",0.826274815679396
"236","rs997435",0.180050523705384
"237","rs728611",0.326092113414093
"238","rs3748744",2.89298239965986e-16
"239","rs6669059",0.157608192081481
"240","rs1832574",0.530466962662483
"241","rs6690967",0.0852998145232176
"242","rs10492999",0.346080643789242
"243","rs3738122",0.496243084548775
"244","rs719543",0.365475689909435
"245","rs719542",0.0114084126356971
"246","rs3179690",0.286473112313159
"247","rs10489155",2.13290128206076
"248","rs10489156",0.0477956135176843
"249","rs10489157",0.701790585112035
"250","rs966366",0.0921568477349799
"251","rs3888820",0.087246659310921
"252","rs1107087",0.119621786504956
"253","rs4422977",0.547426112008497
"254","rs1076624",0.703827303028052
"255","rs170724",0.518045254936564
"256","rs230186",0.518045254936564
"257","rs721360",0.0798586591718331
"258","rs616145",0.0216904472278391
"259","rs660423",0.45906321481357
"260","rs561411",0.495057108069911
"261","rs645548",0.0109437837284514
"262","rs645496",0.315800983344338
"263","rs472055",0.0961186314508691
"264","rs951805",0.246301268671983
"265","rs3767237",0.565208353505775
"266","rs2320590",0.917791329241182
"267","rs2275468",0.652054975653457
"268","rs6704421",0.621213707358282
"269","rs1110240",0.360627973145931
"270","rs10493006",0.286853642390184
"271","rs6692244",0.285319069433505
"272","rs10493004",0.272485761473344
"273","rs7537914",0.233316289606819
"274","rs10493007",1.13846955293817
"275","rs885813",0.40578828194279
"276","rs950922",0.661012451355341
"277","rs10493008",0.852317299504077
"278","rs1384673",1.00946280218627
"279","rs333195",0.195594597658005
"280","rs10493010",0.0419989848914669
"281","rs6672792",0.12857572496228
"282","rs3920498",0.155486502403737
"283","rs2505722",0.611765580559556
"284","rs10489160",0.0231947569645477
"285","rs1320596",0.169664604098555
"286","rs6696981",0.377085202079178
"287","rs10493013",0.0679508373045904
"288","rs10493014",0.0489238108915044
"289","rs10493015",0.0251189127139962
